Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Bot, B.",SJS,1,5,1,0,2,19
"Burr-Kirven, J.",SJS,1,5,0,0,2,19
"Johnson, R.",SJS,0,0,5,0,2,19
"Lee, B.",SJS,0,0,5,0,2,19
"Pest, T.",SJS,0,0,4,0,2,19
"Dodggy, B.",SJS,0,0,3,1,2,19
"Orosz, C.",SJS,0,0,1,0,2,19
"Tyerucker, Q.",SJS,0,0,1,0,2,19
"Johns, A.",OCO,1,15,4,2,2,19
"Pak, Y.",OCO,1,10,4,0,2,19
"Wokkenfuss, G.",OCO,1,5,4,0,2,19
"Blaze, J.",OCO,1,5,2,0,2,19
"Banks II, D.",OCO,1,10,0,0,2,19
"Harrison, H.",OCO,0,0,2,0,2,19
"Reed, A.",OCO,0,0,2,0,2,19
"Pitcher, A.",OCO,0,0,1,0,2,19
