Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Cook, B.",SJS,4,43,10.8,21,0,12,1
"Weston, S.",SJS,4,37,9.2,13,0,12,1
"Bottles, B.",SJS,4,29,7.2,14,0,12,1
"Wiley, D.",SJS,3,27,9,20,0,12,1
"Bowers Jr, V.",SJS,3,24,8,17,0,12,1
"Mademe, R.",SJS,1,7,7,7,0,12,1
"Savea, A.",SJS,1,1,1,1,0,12,1
"Hendrix, K.",COL,7,92,13.1,23,0,12,1
"Gucci, R.",COL,7,42,6,8,1,12,1
"Law, D.",COL,5,61,12.2,31,0,12,1
"Tiernan, L.",COL,2,10,5,8,0,12,1
"Shaloiko, J.",COL,1,25,25,25,0,12,1
"Tweed, B.",COL,1,7,7,7,0,12,1
"Hargrove, M.",COL,1,0,0,0,0,12,1
