Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Ones, B.",YKW,2,15,5,0,14,4
"Fitzfatrick, R.",YKW,1,5,0,0,14,4
"Gustavsson, E.",YKW,1,5,0,0,14,4
"Mushing, M.",YKW,0,0,7,0,14,4
"Askins, J.",YKW,0,0,6,0,14,4
"Amper, T.",YKW,0,0,5,1,14,4
"Rchon, A.",YKW,0,0,5,0,14,4
"Kennedy, E.",YKW,0,0,2,0,14,4
"Nuck, B.",YKW,0,0,2,0,14,4
"Pooky, S.",YKW,0,0,2,0,14,4
"Tweed, B.",COL,2,21,1,0,14,4
"Three, B.",COL,1,10,4,1,14,4
"Erikson, V.",COL,1,5,0,0,14,4
"Hendrix, K.",COL,1,10,0,0,14,4
"West, D.",COL,1,5,0,0,14,4
"One, B.",COL,0,0,10,0,14,4
"Four, B.",COL,0,0,2,1,14,4
"Sphincter, A.",COL,0,0,1,0,14,4
"Two, B.",COL,0,0,1,0,14,4
