,Q,Score Type,Time Remaining,Play,CHI,COL
1,1,FG,11:10,46 yd FG by Kulture Fulture,3,0
2,1,TD,4:59,Mark Grau 6 yd pass from Wolfie McDummy (R). (Adam Anderson kick),3,7
3,1,FG,2:14,39 yd FG by Kulture Fulture,6,7
5,2,TD,12:16,Felix Hasselhoff 17 yd pass from Rose Jenkins (R). (Kulture Fulture kick),13,7
6,2,FG,6:58,40 yd FG by Adam Anderson,13,10
7,2,FG,0:30,33 yd FG by Adam Anderson,13,13
9,3,TD,5:13,James Bishop 8 yd pass from Wolfie McDummy (R). (Adam Anderson kick),13,20
11,4,TD,10:51,Ricky Adams 17 yd pass from Rose Jenkins (R). (Kulture Fulture kick),20,20
12,4,FG,2:20,36 yd FG by Kulture Fulture,23,20
13,4,TD,0:00,Sam Torenson (R) 1 yd run. (Kulture Fulture kick),30,20
