Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Bishop, J.",COL,6,83,13.8,25,1,6,16
"Palmer, J.",COL,5,26,5.2,9,0,6,16
"Wright, R.",COL,4,39,9.8,19,0,6,16
"LaMelllana, S.",COL,4,38,9.5,15,0,6,16
"Grau, M.",COL,2,15,7.5,9,1,6,16
"Crindy, B.",COL,2,12,6,12,0,6,16
"Taffy, T.",COL,2,9,4.5,5,0,6,16
"Carrasco, T.",COL,1,5,5,5,0,6,16
"Adams, R.",CHI,3,69,23,27,1,6,16
"Oles, K.",CHI,3,51,17,22,0,6,16
"Hasselhoff, F.",CHI,3,42,14,17,1,6,16
"Batoff, R.",CHI,2,28,14,22,0,6,16
"Harp, D.",CHI,1,36,36,36,0,6,16
"Danielsson, A.",CHI,1,6,6,6,0,6,16
