,Q,Score Type,Time Remaining,Play,PHI,OCO
1,1,TD,11:00,Bradley Westfield 31 yd pass from Mike Boss. (Bradley Madlad XP no good),0,6
2,1,FG,7:54,46 yd FG by Stephen Harris,3,6
3,1,TD,4:53,Jordan Yates 54 yd pass from Mike Boss. (Bradley Madlad kick),3,13
4,1,TD,2:38,Bradley Westfield 24 yd pass from Mike Boss. (Bradley Madlad kick),3,20
6,2,TD,9:16,Erlich Burnsman 3 yd run. (Bradley Madlad kick),3,27
7,2,FG,2:54,33 yd FG by Stephen Harris,6,27
9,3,TD,1:22,Carlito Crush 30 yd pass from Mike Boss. (Bradley Madlad kick),6,34
11,4,FG,11:16,35 yd FG by Bradley Madlad,6,37
12,4,FG,5:59,39 yd FG by Stephen Harris,9,37
13,4,FG,1:47,22 yd FG by Bradley Madlad,9,40
