,Q,Score Type,Time Remaining,Play,OCO,HON
1,1,TD,7:18,Keynel McZeal 6 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,2:14,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),14,0
4,2,TD,11:44,Owen Holloway (R) 1 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),21,0
5,2,TD,2:29,Shawn Dawkins (C) 35 yd interception return. (Venus Powers kick),21,7
7,3,TD,13:38,Tatsu Nakamura (C) 1 yd run. (Alex Dasistwirklichseinnachname kick),28,7
8,3,TD,13:21,Ke'oke'o Kane-Maika'i 108 yd kickoff return. (Venus Powers kick),28,14
9,3,FG,1:41,35 yd FG by Alex Dasistwirklichseinnachname,31,14
11,4,TD,13:37,Nicholas Ayers 1 yd run. (Venus Powers kick),31,21
12,4,TD,8:05,Jeffrey Phillips 7 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),38,21
13,4,TD,2:02,Jed Podolak 23 yd pass from Luke Skywalker (C). (Venus Powers kick),38,28
