Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG,FF,Blk P,Blk XP,Blk FG,W,S
"Kackpoo, H.",HON,13,0,0,2/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Lavigne, D.",HON,8,0,0,0/0,2,0,0,0,0/0/0,0,0,0,0,7,25
"Montain, A.",HON,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Dawkins, S.",HON,4,0,0,0/1,1,1,0,1,0/0/0,1,0,0,0,7,25
"Fields, G.",HON,4,0,1,0/0,2,0,0,0,0/0/0,0,0,0,0,7,25
"Jeffrey, T.",HON,4,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Waters, J.",HON,4,0,0,0/0,3,1,0,0,0/0/0,0,0,0,0,7,25
"Thornton, B.",HON,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Edd, B.",HON,2,0,1,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Rucker, R.",HON,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Jackson, R.",HON,0,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Biggums, T.",OCO,9,0,0,0/0,1,1,0,0,0/0/0,0,0,0,0,7,25
"Joestar, J.",OCO,8,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Jones, D.",OCO,4,0,1,0/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Bob, B.",OCO,3,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Wheezer, C.",OCO,3,2,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Abernathy, K.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Beerus, L.",OCO,2,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Eagle, R.",OCO,2,1,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Tank, G.",OCO,1,0,0,0/0,0,0,0,0,0/0/0,0,0,0,0,7,25
"Vegeta, P.",OCO,1,0,0,0/0,1,0,0,0,0/0/0,0,0,0,0,7,25
"Holloway, O.",OCO,0,0,0,0/1,0,0,0,0,0/0/0,1,0,0,0,7,25
