,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,TD,11:36,Morgan Marshall 6 yd run. (Neo Donaldson kick),7,0
2,1,TD,9:25,Kazimir Oles 67 yd punt return. (Cameron Clutch (R) kick),7,7
3,1,FG,5:47,39 yd FG by Neo Donaldson,10,7
5,2,FG,13:12,24 yd FG by Neo Donaldson,13,7
6,2,TD,8:39,Vinny Valentine 25 yd pass from Andrew Reese. (Cameron Clutch (R) kick),13,14
7,2,TD,4:38,Jerrod Canton 4 yd pass from Cooter Bigsby. (Neo Donaldson kick),20,14
9,3,TD,10:25,Kazimir Oles 7 yd pass from Andrew Reese. (Cameron Clutch (R) kick),20,21
10,3,TD,5:23,Vinny Valentine 29 yd pass from Andrew Reese. (Cameron Clutch (R) kick),20,28
11,3,TD,1:48,Nate Swift 13 yd pass from Cooter Bigsby. (Neo Donaldson kick),27,28
13,4,TD,9:57,Slim Shady 1 yd run. (Cameron Clutch (R) kick),27,35
14,4,TD,1:33,Vinny Valentine 3 yd pass from Andrew Reese. (Cameron Clutch (R) kick),27,42
