Player,Team,Tck,TFL,Sack,PD,Int,Sfty,def_TD,FF,FR,Blk P,Blk XP,Blk FG,W,S
"Gabagool, T.",COL,12,0,0,2,0,0,0,0,0,0,0,0,4,16
"Berry, M.",COL,7,0,0,3,0,0,0,0,0,0,0,0,4,16
"Sinclair, Q.",COL,6,0,0,0,0,0,0,0,0,0,0,0,4,16
"Sachs, J.",COL,5,0,0,0,0,0,0,0,0,0,0,0,4,16
"McCoy, C.",COL,4,0,0,0,0,0,0,0,0,0,0,0,4,16
"Cox, P.",COL,3,0,0,0,0,0,0,0,0,0,0,0,4,16
"Knurtsson, K.",COL,3,0,0,0,0,0,0,0,0,0,0,0,4,16
"Lejune, L.",COL,2,0,0,1,1,0,0,0,0,0,0,0,4,16
"Marrett, O.",COL,2,0,1,0,0,0,0,0,0,0,0,0,4,16
"Harrison, W.",NO,14,1,1,2,2,0,0,0,0,0,0,0,4,16
"Bode, Q.",NO,11,0,0,0,0,0,0,0,0,0,0,0,4,16
"Jefferson IV, J.",NO,11,0,0,0,0,0,0,0,0,0,0,0,4,16
"Arnold, D.",NO,7,0,0,0,0,0,0,0,0,0,0,0,4,16
"Slothface, J.",NO,7,0,0,0,0,0,0,0,0,0,0,0,4,16
"Rax, L.",NO,5,2,1,0,0,0,0,0,0,0,0,0,4,16
"Williams VII, S.",NO,5,0,0,1,0,0,0,0,0,0,0,0,4,16
"Harris, B.",NO,4,0,1,0,0,0,0,0,0,0,0,0,4,16
"Earl, B.",NO,3,1,0,0,0,0,0,0,0,0,0,0,4,16
"Taylor, D.",NO,3,0,0,0,0,0,0,0,0,0,0,0,4,16
"Townsend, F.",NO,3,0,0,0,0,0,0,0,0,0,0,0,4,16
"Sackless, S.",NO,0,0,0,0,0,0,0,0,0,0,0,0,4,16
