,Q,Score Type,Time Remaining,Play,AUS,SJS
1,1,FG,12:01,23 yd FG by Pseudo QB (R),3,0
2,1,TD,10:44,Eddie Jeeta 27 yd pass from Easton Cole (C). (Pseudo QB (R) kick),10,0
4,2,TD,14:34,Rando Cardrissian 1 yd run. (Matthew McDairmid (C) kick),10,7
5,2,FG,6:33,47 yd FG by Pseudo QB (R),13,7
6,2,FG,0:21,22 yd FG by Pseudo QB (R),16,7
8,3,TD,4:18,Rando Cardrissian 6 yd run. (Matthew McDairmid (C) kick),16,14
10,4,TD,12:42,Tychondrius Hood 26 yd pass from Monterey Jack. (Matthew McDairmid (C) kick),16,21
11,4,FG,8:55,33 yd FG by Pseudo QB (R),19,21
12,4,TD,4:06,Jamar Lackson 2 yd run. (Matthew McDairmid (C) XP no good),19,27
13,4,TD,0:41,Net Gaines 28 yd pass from Easton Cole (C). (2pt conversion failed),25,27
