,Q,Score Type,Time Remaining,Play,AZ,SJS
1,1,TD,10:46,Damian West 9 yd pass from Chris Orosz. (Iyah Blewitt kick),0,7
2,1,FG,5:55,24 yd FG by Dean Jackson,3,7
3,1,TD,2:32,Mayran Jackson 9 yd pass from Chris Orosz. (Iyah Blewitt kick),3,14
5,2,TD,13:52,Mayran Jackson 26 yd pass from Chris Orosz. (Iyah Blewitt kick),3,21
6,2,FG,10:09,43 yd FG by Iyah Blewitt,3,24
7,2,FG,0:13,31 yd FG by Dean Jackson,6,24
9,3,TD,10:44,Fresh Booter 10 yd pass from King Bronko. (Dean Jackson kick),13,24
10,3,FG,5:26,25 yd FG by Iyah Blewitt,13,27
12,4,FG,15:00,40 yd FG by Iyah Blewitt,13,30
13,4,TD,13:11,Jogn Floggity 27 yd interception return. (Dean Jackson kick),20,30
14,4,SF,7:34,Chris Orosz tackled for a safety.,22,30
15,4,FG,4:51,47 yd FG by Iyah Blewitt,22,33
