,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,10:29,33 yd FG by ForThe Brand,0,3
2,1,TD,6:54,Verso L'Alto 2 yd pass from Corvo Havran. (ForThe Brand kick),0,10
3,1,TD,0:57,Ahri Espeeyeeseetee 22 yd pass from Corvo Havran. (ForThe Brand kick),0,17
5,2,TD,11:54,James Bishop 17 yd pass from Wolfie McDummy. (Stephen Harris Jr XP no good),6,17
6,2,TD,7:51,Errol Maddox 24 yd pass from Corvo Havran. (ForThe Brand kick),6,24
8,3,TD,12:35,Errol Maddox 5 yd pass from Corvo Havran. (ForThe Brand kick),6,31
9,3,TD,3:27,Ludicolo Bigby 1 yd run. (ForThe Brand kick),6,38
10,3,TD,1:01,Walt Green 23 yd interception return. (ForThe Brand kick),6,45
12,4,FG,12:57,29 yd FG by ForThe Brand,6,48
13,4,TD,7:02,Corey Trevor 3 yd run. (ForThe Brand kick),6,55
14,4,TD,6:45,Logan Lejune 92 yd kickoff return. (Stephen Harris Jr kick),13,55
15,4,TD,2:26,James Bishop 12 yd pass from Wolfie McDummy. (Stephen Harris Jr kick),20,55
