Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"MacAndrew, H.",CHI,1,5,0,0,8,23
"McCringleberry, H.",CHI,1,10,0,0,8,23
"Okusi, R.",CHI,1,10,0,0,8,23
"Shields, T.",CHI,1,1,0,0,8,23
"Ahstreet, C.",CHI,0,0,6,0,8,23
"Bayley Jr., B.",CHI,0,0,6,0,8,23
"LaFleur, F.",CHI,0,0,5,0,8,23
"Gelbman, T.",CHI,0,0,3,0,8,23
"Hayes, V.",CHI,0,0,3,0,8,23
"Tirtawidjaja, J.",CHI,0,0,3,0,8,23
"Tucker Jr., P.",CHI,0,0,2,0,8,23
"Arbage, G.",AZ,1,5,9,0,8,23
"Golladay, C.",AZ,1,5,7,0,8,23
"Miller, P.",AZ,1,2,0,0,8,23
"Scarlett, D.",AZ,1,5,0,0,8,23
"Buckley, B.",AZ,0,0,4,0,8,23
"Unk, J.",AZ,0,0,3,0,8,23
"Block, T.",AZ,0,0,2,0,8,23
"Evans, H.",AZ,0,0,2,0,8,23
"Yoda, B.",AZ,0,0,2,0,8,23
