Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Diggler, D.",BAL,1,15,4,0
"Star, L.",BAL,0,0,4,0
"Grey, S.",BAL,0,0,3,0
"Jeremy, R.",BAL,0,0,3,0
"Steele, R.",BAL,0,0,2,0
"Williams, D.",BAL,0,0,2,0
"Davis, J.",CHI,2,15,0,0
"GarlicMuffin, F.",CHI,1,10,3,0
"Utler, J.",CHI,1,10,1,0
"Ridley, X.",CHI,1,5,0,0
"Schneider, D.",CHI,1,15,0,0
"Vassallo, S.",CHI,1,1,0,0
"OnionBagel, F.",CHI,0,0,7,0
"Jenkins, L.",CHI,0,0,4,0
"Oles, T.",CHI,0,0,4,0
"Leaf Jr., R.",CHI,0,0,3,0
"Leaf-Clover, R.",CHI,0,0,3,0
"Firestorm-Fjord, O.",CHI,0,0,2,0
