Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Angler, J.",SAR,7,73,10.4,29,0,12,25
"Witheblock, M.",SAR,5,105,21,40,2,12,25
"Chan, R.",SAR,4,85,21.2,40,0,12,25
"Gordon, R.",SAR,3,30,10,18,0,12,25
"Manclaw, C.",SAR,3,16,5.3,12,0,12,25
"J'Vathon, T.",SAR,2,48,24,36,0,12,25
"Back, R.",SAR,2,9,4.5,6,0,12,25
"Batista, D.",COL,8,84,10.5,32,0,12,25
"Lim, W.",COL,7,113,16.1,33,2,12,25
"Jenkins, L.",COL,6,105,17.5,38,0,12,25
"Sauce, E.",COL,4,54,13.5,18,0,12,25
"Williams, D.",COL,4,23,5.8,9,0,12,25
"Gilbert, R.",COL,3,26,8.7,15,0,12,25
