,Q,Score Type,Time Remaining,Play,YKW,SJS
1,1,TD,9:17,Mathias Hanyadi 3 yd run. (Dougie Smalls kick),7,0
2,1,FG,6:12,38 yd FG by Matthew McDairmid,7,3
3,1,FG,3:04,24 yd FG by Dougie Smalls,10,3
5,2,TD,14:45,Jamar Lackson (R) 5 yd run. (Matthew McDairmid kick),10,10
6,2,FG,12:04,40 yd FG by Dougie Smalls,13,10
7,2,TD,3:51,"Leon McDavid 7 yd pass from ""Monterey """"Monty"""""" Jack (R). (Matthew McDairmid kick)",13,17
8,2,TD,1:05,Mike Lee (R) 17 yd pass from Cooter Bigsby. (Dougie Smalls kick),20,17
10,3,TD,8:45,Jamar Lackson (R) 1 yd run. (Matthew McDairmid kick),20,24
11,3,FG,6:43,38 yd FG by Dougie Smalls,23,24
12,3,FG,1:30,45 yd FG by Dougie Smalls,26,24
14,4,FG,12:01,25 yd FG by Matthew McDairmid,26,27
15,4,TD,4:47,Mathias Hanyadi 2 yd run. (2pt conversion good),34,27
