,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,TD,8:59,Alexandre LeClair 13 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
3,2,TD,13:52,Owen Taylor 3 yd run. (Turk Turkleton kick),14,0
4,2,TD,7:00,Owen Taylor 1 yd run. (Turk Turkleton kick),21,0
5,2,TD,0:59,Dermot Lavelle 31 yd pass from Mat Akselsen. (None Forfeit kick),21,7
7,3,TD,11:23,Robby Rainey 3 yd run. (None Forfeit kick),21,14
8,3,FG,5:04,20 yd FG by Turk Turkleton,24,14
9,3,TD,2:08,Eric Kennedy 30 yd pass from Mat Akselsen. (None Forfeit kick),24,21
11,4,FG,13:09,39 yd FG by None Forfeit,24,24
12,4,TD,6:19,Robby Rainey 2 yd run. (None Forfeit kick),24,31
13,4,TD,1:41,Robby Rainey 3 yd run. (None Forfeit kick),24,38
