,Q,Score Type,Time Remaining,Play,OCO,NO
1,1,FG,10:49,29 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,FG,7:48,23 yd FG by Alex Dasistwirklichseinnachname,6,0
3,1,TD,1:01,Apollo Reed 4 yd run. (Alex Dasistwirklichseinnachname kick),13,0
5,2,FG,13:04,31 yd FG by Alex Dasistwirklichseinnachname,16,0
6,2,FG,9:05,44 yd FG by Alex Frost,16,3
7,2,TD,5:30,Hugh Mongo 58 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),23,3
8,2,FG,2:13,48 yd FG by Alex Frost,23,6
9,2,FG,0:17,44 yd FG by Alex Dasistwirklichseinnachname,26,6
11,3,TD,10:20,Jordan von Matt 8 yd pass from Stan Francisco. (Alex Frost kick),26,13
12,3,FG,8:52,38 yd FG by Alex Frost,26,16
13,3,TD,4:27,Apollo Reed 1 yd run. (Alex Dasistwirklichseinnachname kick),33,16
14,3,FG,0:32,43 yd FG by Alex Frost,33,19
16,4,FG,11:04,43 yd FG by Alex Frost,33,22
17,4,TD,0:15,Franklin Armstrong 12 yd run. (Alex Dasistwirklichseinnachname kick),40,22
