,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,FG,9:02,19 yd FG by Alex Dasistwirklichseinnachname,3,0
2,1,TD,5:20,Eddie Jeeta 9 yd pass from Easton Cole. (Alfredo Crisco kick),3,7
4,2,TD,12:22,Ludicolo Bigby 2 yd run. (Alex Dasistwirklichseinnachname kick),10,7
5,2,FG,0:50,43 yd FG by Alfredo Crisco,10,10
7,3,FG,12:55,46 yd FG by Alex Dasistwirklichseinnachname,13,10
8,3,TD,12:36,Mako Mendonca 94 yd kickoff return. (Alfredo Crisco kick),13,17
9,3,FG,8:52,38 yd FG by Alex Dasistwirklichseinnachname,16,17
10,3,TD,1:39,Kichwa Jones 4 yd run. (Alfredo Crisco kick),16,24
12,4,TD,14:10,Future Trunks 26 yd pass from Franklin Armstrong. (2pt conversion good),24,24
13,4,TD,9:27,Future Trunks 45 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),31,24
