Player,Team,Tck,TFL,Sack,FF/FR,PD,Int,Sfty,def_TD,Blk P/XP/FG
"Mughes, H.",AZ,8,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Morris, R.",AZ,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Spector, M.",AZ,6,4,1,0/0,0,0,0,0,"[0, 0, 0]"
"Vans, R.",AZ,6,1,2,0/0,0,0,0,0,"[0, 0, 0]"
"Barnes, B.",AZ,5,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lee, L.",AZ,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"McKinnie, L.",AZ,4,0,2,0/0,0,0,0,0,"[0, 0, 0]"
"Montgomery, B.",AZ,4,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Woodham, A.",AZ,3,2,0,0/0,0,0,0,0,"[0, 0, 0]"
"Knight, L.",AZ,2,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Moore, S.",AZ,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Ramsey Jr., G.",OCO,8,0,0,0/0,1,0,0,0,"[0, 0, 0]"
"Ginsberg, D.",OCO,6,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Schneider, D.",OCO,5,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Hobbs, S.",OCO,4,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Grievous, L.",OCO,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Salami, T.",OCO,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Showbiz, G.",OCO,3,0,0,0/0,2,0,0,0,"[0, 0, 0]"
"Skarsgard, T.",OCO,3,0,1,0/0,0,0,0,0,"[0, 0, 0]"
"Rice, J.",OCO,2,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Lattimer, A.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
"Mbanefo, K.",OCO,1,0,0,0/0,0,0,0,0,"[0, 0, 0]"
