,Q,Score Type,Time Remaining,Play,BAL,AZ
1,1,TD,3:35,Mai Fukushu 7 yd pass from Chika Fujiwara. (Datsum PhastBawls kick),7,0
3,2,FG,9:22,41 yd FG by J.J. Jay-Jaymison,7,3
4,2,TD,2:47,Darren Pama (R) 1 yd run. (J.J. Jay-Jaymison kick),7,10
5,2,SF,2:25,Chika Fujiwara tackled for a safety.,7,12
6,2,FG,0:15,30 yd FG by J.J. Jay-Jaymison,7,15
8,3,TD,12:08,Joshua Campbell 36 yd pass from Chika Fujiwara. (Datsum PhastBawls kick),14,15
9,3,TD,3:39,Gunner Thorbjornsson 7 yd run. (J.J. Jay-Jaymison kick),14,22
10,3,TD,0:27,Jay Cue (C) 76 yd run. (J.J. Jay-Jaymison kick),14,29
12,4,TD,9:08,Darren Pama (R) 4 yd run. (J.J. Jay-Jaymison kick),14,36
13,4,TD,3:43,Taro Raimon 8 yd pass from Jay Cue (C). (J.J. Jay-Jaymison kick),14,43
