,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,FG,13:06,23 yd FG by Peg Leg,0,3
2,1,TD,6:51,Darren Smallwood 5 yd pass from Borkus Maximus III. (Peg Leg kick),0,10
3,1,FG,2:50,29 yd FG by Beat Meoff,3,10
5,2,TD,14:14,Darren Smallwood 3 yd run. (Peg Leg kick),3,17
6,2,FG,11:24,37 yd FG by Peg Leg,3,20
7,2,FG,5:12,25 yd FG by Beat Meoff,6,20
8,2,TD,1:23,Alexandre LeClair 21 yd pass from Borkus Maximus III. (Peg Leg kick),6,27
10,3,TD,10:30,Alexandre LeClair 27 yd pass from Borkus Maximus III. (Peg Leg kick),6,34
11,3,TD,9:53,Darren Smallwood 1 yd run. (Peg Leg kick),6,41
12,3,FG,3:05,30 yd FG by Peg Leg,6,44
13,3,FG,0:31,40 yd FG by Beat Meoff,9,44
15,4,FG,9:43,46 yd FG by Beat Meoff,12,44
16,4,FG,6:03,43 yd FG by Peg Leg,12,47
