Player,Team,Penalties,Yards,Pancakes,Sacks Allowed
"Johnny-Walker, J.",OCO,1,5,3,0
"King, J.",OCO,1,5,0,0
"Kentucky, D.",OCO,0,0,7,0
"Beam, J.",OCO,0,0,3,0
"Burnsman, E.",OCO,0,0,2,0
"Makers, M.",OCO,0,0,2,0
"Petrakis, A.",OCO,0,0,2,0
"Jamison, J.",OCO,0,0,1,1
"O'Sullivan, S.",OCO,0,0,1,0
"Floggity, J.",AZ,2,10,0,0
"Wright, O.",AZ,1,5,1,0
"Bronko, K.",AZ,1,5,0,0
"Ernston, H.",AZ,1,5,0,0
"Law, C.",AZ,1,5,0,0
"Bombadil, T.",AZ,0,0,6,1
"Took, B.",AZ,0,0,6,0
"Beard, T.",AZ,0,0,4,1
"Halfelven, E.",AZ,0,0,4,1
"Mackworthy, R.",AZ,0,0,3,4
