Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Bush, C.",PHI,6,69,11.5,19,0,1,11
"Brown, M.",PHI,5,28,5.6,10,0,1,11
"Hasselhoff, F.",PHI,3,23,7.7,14,1,1,11
"O'Sullivan, C.",PHI,2,14,7,8,0,1,11
"von Matt, J.",PHI,1,7,7,7,0,1,11
"Hondo, A.",PHI,1,5,5,5,0,1,11
"DiMirio, P.",NO,5,66,13.2,27,0,1,11
"Smallwood, D.",NO,5,34,6.8,28,1,1,11
"Fyodorovich, V.",NO,3,61,20.3,42,1,1,11
"LeClair, A.",NO,2,49,24.5,26,0,1,11
"Law, C.",NO,2,46,23,35,0,1,11
"Yobanna-Kanayochukwu, C.",NO,2,3,1.5,2,0,1,11
"Bayley, B.",NO,1,2,2,2,0,1,11
