,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,TD,11:33,Paul DiMirio 8 yd pass from Borkus Maximus III. (Peg Leg kick),7,0
2,1,FG,5:55,25 yd FG by None Forfeit,7,3
3,1,TD,0:24,Borro Gore 1 yd pass from Brad Pennington. (None Forfeit kick),7,10
5,2,FG,11:11,23 yd FG by None Forfeit,7,13
6,2,FG,6:59,25 yd FG by Peg Leg,10,13
7,2,FG,5:09,44 yd FG by None Forfeit,10,16
8,2,TD,2:24,Glenn McPoyal 2 yd pass from Brad Pennington. (None Forfeit kick),10,23
9,2,TD,0:04,Charlie Law 15 yd pass from Borkus Maximus III. (Peg Leg kick),17,23
11,3,TD,12:24,Dermot Lavelle 72 yd punt return. (None Forfeit kick),17,30
12,3,FG,8:43,24 yd FG by Peg Leg,20,30
13,3,TD,0:13,Glenn McPoyal 26 yd pass from Brad Pennington. (None Forfeit kick),20,37
15,4,FG,10:42,19 yd FG by Peg Leg,23,37
16,4,TD,5:18,Charlie Law 10 yd pass from Borkus Maximus III. (Peg Leg kick),30,37
