,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,11:26,Fox North 2 yd pass from Ryan Applehort. (Micycle McCormick kick),7,0
2,1,TD,6:42,Carter Bush 2 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,7
3,1,TD,0:27,Carter Bush 14 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,14
5,2,TD,9:51,Owen Taylor 4 yd run. (Turk Turkleton kick),7,21
6,2,TD,5:41,Dwayne Aaron 7 yd pass from Ryan Applehort. (Micycle McCormick kick),14,21
7,2,TD,1:54,Owen Taylor 2 yd pass from Avon Blocksdale. (Turk Turkleton kick),14,28
9,3,FG,5:50,38 yd FG by Micycle McCormick,17,28
11,4,FG,10:43,28 yd FG by Turk Turkleton,17,31
12,4,FG,7:46,36 yd FG by Micycle McCormick,20,31
13,4,FG,2:15,35 yd FG by Turk Turkleton,20,34
14,4,TD,0:00,Avon Blocksdale 7 yd run. (Turk Turkleton kick),20,41
