,Q,Score Type,Time Remaining,Play,BAL,SJS
1,1,TD,10:59,Break Bottles 3 yd pass from Chris Orosz. (Iyah Blewitt XP no good),0,6
2,1,FG,6:17,56 yd FG by Turk Turkleton,3,6
3,1,TD,3:10,Shane Weston 33 yd pass from Chris Orosz. (Iyah Blewitt kick),3,13
4,1,TD,0:00,Alexandre LeClair 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,13
6,2,FG,7:58,24 yd FG by Turk Turkleton,13,13
7,2,TD,7:38,Shane Weston 98 yd kickoff return. (Iyah Blewitt kick),13,20
9,3,TD,13:37,Alexandre LeClair 14 yd pass from Avon Blocksdale. (Turk Turkleton kick),20,20
10,3,TD,7:06,Owen Taylor 8 yd pass from Avon Blocksdale. (Turk Turkleton kick),27,20
11,3,FG,4:30,43 yd FG by Iyah Blewitt,27,23
12,3,TD,1:39,Shane Weston 35 yd pass from Chris Orosz. (Iyah Blewitt kick),27,30
14,4,TD,13:36,Shane Weston 23 yd pass from Chris Orosz. (Iyah Blewitt kick),27,37
15,4,FG,8:28,40 yd FG by Turk Turkleton,30,37
