,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,7:49,18 yd FG by Kyle Corbett,3,0
2,1,TD,3:52,Vinny Valentine 46 yd pass from Childish Gambino. (Alex Frost kick),3,7
4,2,TD,11:29,Vinny Valentine 5 yd pass from Childish Gambino. (Alex Frost kick),3,14
5,2,FG,8:17,21 yd FG by Kyle Corbett,6,14
6,2,TD,5:06,Declan Harp 4 yd pass from Childish Gambino. (Alex Frost kick),6,21
7,2,FG,0:01,23 yd FG by Kyle Corbett,9,21
9,3,TD,14:33,Beau Montgomery 16 yd interception return. (Kyle Corbett kick),16,21
10,3,TD,12:00,Declan Harp 17 yd pass from Childish Gambino. (Alex Frost kick),16,28
11,3,TD,2:14,Mark Grau 1 yd run. (Kyle Corbett kick),23,28
13,4,TD,13:33,Corey Trevor 9 yd run. (Alex Frost kick),23,35
