Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Watyumaidmedu, L.",NO,1,15,4,0,8,13
"Swift, T.",NO,1,15,1,0,8,13
"Kuusela, G.",NO,1,5,0,0,8,13
"Townsend, F.",NO,1,5,0,0,8,13
"Sackless, S.",NO,0,0,6,0,8,13
"Belongwithme, H.",NO,0,0,4,0,8,13
"Sno, F.",NO,0,0,4,0,8,13
"Danger, H.",NO,0,0,2,0,8,13
"Gore, B.",NO,0,0,2,0,8,13
"Asipi III, A.",AZ,1,5,0,0,8,13
"Reese, A.",AZ,1,5,0,0,8,13
"Sackerman, F.",AZ,1,5,0,0,8,13
"Selich, A.",AZ,1,5,0,0,8,13
"Robotman, D.",AZ,0,0,5,1,8,13
"Robotman, A.",AZ,0,0,3,0,8,13
"Robotman, E.",AZ,0,0,2,1,8,13
"Crindy, B.",AZ,0,0,2,0,8,13
"Moore, S.",AZ,0,0,1,0,8,13
"Robotman, C.",AZ,0,0,1,0,8,13
"Shady, S.",AZ,0,0,0,1,8,13
