,Q,Score Type,Time Remaining,Play,OCO,COL
1,1,TD,11:22,Bradley Westfield 12 yd pass from Gus T.T. (R) Showbiz. (Bradley Madlad kick),7,0
2,1,FG,8:16,39 yd FG by Micycle McCormick,7,3
3,1,FG,4:19,42 yd FG by Micycle McCormick,7,6
5,2,FG,12:48,24 yd FG by Bradley Madlad,10,6
6,2,FG,7:57,18 yd FG by Micycle McCormick,10,9
7,2,FG,0:09,38 yd FG by Bradley Madlad,13,9
9,3,FG,7:22,37 yd FG by Micycle McCormick,13,12
10,3,FG,4:44,23 yd FG by Micycle McCormick,13,15
12,4,FG,13:17,36 yd FG by Micycle McCormick,13,18
13,4,FG,1:48,40 yd FG by Micycle McCormick,13,21
