,Q,Score Type,Time Remaining,Play,OCO,SJS
1,1,TD,10:35,Ludicolo Bigby 1 yd run. (Alex Dasistwirklichseinnachname kick),7,0
2,1,FG,1:27,38 yd FG by Matthew McDairmid,7,3
4,2,FG,13:57,43 yd FG by Alex Dasistwirklichseinnachname,10,3
5,2,FG,8:29,38 yd FG by Alex Dasistwirklichseinnachname,13,3
6,2,FG,0:11,30 yd FG by Alex Dasistwirklichseinnachname,16,3
8,3,TD,8:59,Ludicolo Bigby 8 yd run. (Alex Dasistwirklichseinnachname kick),23,3
9,3,TD,6:17,Jeffrey Phillips 6 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),30,3
10,3,TD,1:25,Tatsu Nakamura 4 yd run. (Alex Dasistwirklichseinnachname kick),37,3
12,4,FG,13:39,37 yd FG by Matthew McDairmid,37,6
13,4,TD,10:29,Prince Vegeta 29 yd interception return. (Alex Dasistwirklichseinnachname kick),44,6
