,Q,Score Type,Time Remaining,Play,YKW,CHI
1,1,FG,7:56,25 yd FG by Blago Kokot (R),3,0
2,1,FG,3:34,45 yd FG by Blago Kokot (R),6,0
3,1,TD,1:48,Mathias Hanyadi 1 yd run. (Blago Kokot (R) kick),13,0
5,2,TD,13:26,Bender B. Rodriguez 20 yd pass from George O'Donnell. (Sam Sidekick kick),13,7
6,2,TD,5:08,Kai Sakura (C) 9 yd pass from Colby Jack. (Blago Kokot (R) kick),20,7
7,2,FG,1:20,24 yd FG by Sam Sidekick,20,10
9,3,TD,10:54,Julio Tirtawidjaja 4 yd run. (Sam Sidekick kick),20,17
10,3,TD,6:11,Acura Skyline 16 yd pass from Colby Jack. (Blago Kokot (R) kick),27,17
12,4,TD,7:21,Bender B. Rodriguez 2 yd pass from George O'Donnell. (Sam Sidekick kick),27,24
13,4,TD,1:53,Sean O'Leary (C) 49 yd pass from George O'Donnell. (Sam Sidekick kick),27,31
