,Q,Score Type,Time Remaining,Play,OCO,PHI
2,2,TD,13:31,Remon Kurisuto (R) 2 yd run. (Alex Dasistwirklichseinnachname kick),7,0
3,2,FG,10:23,28 yd FG by Alex Dasistwirklichseinnachname,10,0
4,2,FG,5:45,33 yd FG by Venus Powers,10,3
5,2,TD,4:53,Sam Torenson 1 yd run. (Venus Powers kick),10,10
6,2,FG,0:13,44 yd FG by Venus Powers,10,13
8,3,FG,12:05,46 yd FG by Alex Dasistwirklichseinnachname,13,13
9,3,TD,10:02,Dexter Banks II 27 yd pass from Franklin Armstrong. (Alex Dasistwirklichseinnachname kick),20,13
10,3,TD,4:43,Siddhu Sarvepally (R) 11 yd run. (Alex Dasistwirklichseinnachname kick),27,13
12,4,TD,12:50,Siddhu Sarvepally (R) 1 yd run. (Alex Dasistwirklichseinnachname kick),34,13
13,4,TD,7:50,Sam Torenson 3 yd run. (Venus Powers kick),34,20
14,4,FG,4:16,46 yd FG by Alex Dasistwirklichseinnachname,37,20
15,4,TD,0:56,Nacho Varga 23 yd pass from Brock Phoenix. (Venus Powers kick),37,27
