,Q,Score Type,Time Remaining,Play,PHI,YKW
1,1,TD,6:07,Damien Kroetch 5 yd run. (Stephen Harris kick),7,0
2,1,FG,3:46,46 yd FG by None Forfeit,7,3
4,2,FG,8:21,39 yd FG by Stephen Harris,10,3
5,2,TD,3:53,Bailey Cook 19 yd pass from Mat Akselsen. (None Forfeit kick),10,10
6,2,TD,0:21,Carter Bush 7 yd run. (Stephen Harris kick),17,10
8,3,FG,10:52,36 yd FG by None Forfeit,17,13
9,3,FG,5:10,30 yd FG by Stephen Harris,20,13
10,3,TD,1:08,Fox North 8 yd pass from Tyler Oles. (Stephen Harris XP no good),26,13
12,4,TD,8:19,Eric Kennedy 15 yd pass from Mat Akselsen. (None Forfeit kick),26,20
13,4,TD,0:47,Bailey Cook 6 yd pass from Mat Akselsen. (None Forfeit kick),26,27
