,Q,Score Type,Time Remaining,Play,OCO,YKW
1,1,FG,5:43,27 yd FG by None Forfeit,0,3
2,1,TD,0:19,Robby Rainey 1 yd run. (None Forfeit kick),0,10
4,2,TD,12:18,Jordan Yates 19 yd pass from Mike Boss. (Bradley Madlad kick),7,10
5,2,TD,8:29,Eric Kennedy 9 yd pass from Mat Akselsen. (None Forfeit XP no good),7,16
6,2,TD,6:00,Jordan Yates 4 yd pass from Mike Boss. (Bradley Madlad kick),14,16
8,3,FG,11:40,27 yd FG by None Forfeit,14,19
9,3,FG,8:54,39 yd FG by Bradley Madlad,17,19
10,3,FG,0:46,29 yd FG by None Forfeit,17,22
12,4,FG,5:05,42 yd FG by None Forfeit,17,25
13,4,TD,4:10,Cameron Taylor 48 yd interception return. (None Forfeit kick),17,32
