,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,13:24,Alexandre LeClair 60 yd pass from Avon Blocksdale. (Turk Turkleton kick),7,0
2,1,FG,9:26,23 yd FG by Stephen Harris,7,3
3,1,TD,6:20,Owen Taylor 4 yd run. (Turk Turkleton kick),14,3
4,1,TD,1:02,Josh Garden 1 yd pass from Tyler Oles. (Stephen Harris kick),14,10
6,2,FG,4:34,25 yd FG by Stephen Harris,14,13
7,2,FG,1:14,24 yd FG by Stephen Harris,14,16
9,3,TD,6:36,Alexandre LeClair 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),21,16
10,3,TD,2:43,Damien Kroetch 1 yd run. (Stephen Harris kick),21,23
12,4,TD,4:56,Trey Willie 14 yd pass from Avon Blocksdale. (Turk Turkleton kick),28,23
13,4,TD,1:06,Damien Kroetch 1 yd run. (2pt conversion failed),28,29
