,Q,Score Type,Time Remaining,Play,YKW,AZ
1,1,TD,10:46,Thomas Carrasco 1 yd run. (None Forfeit kick),7,0
2,1,TD,7:24,Trey Willie 28 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),7,7
3,1,TD,2:12,Tommy Helanen 3 yd pass from Ryan Applehort. (None Forfeit kick),14,7
5,2,TD,13:38,Viggo Squanch 19 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),14,14
6,2,TD,4:47,Slim Shady 4 yd run. (Dean Jackson kick),14,21
8,3,TD,13:36,Elvin Enchant 37 yd interception return. (None Forfeit kick),21,21
9,3,FG,9:48,44 yd FG by Dean Jackson,21,24
10,3,FG,6:47,36 yd FG by None Forfeit,24,24
11,3,TD,3:30,Trey Willie 6 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),24,31
12,3,TD,0:59,Trey Willie 31 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),24,38
14,4,FG,11:00,28 yd FG by None Forfeit,27,38
15,4,FG,6:22,47 yd FG by None Forfeit,30,38
16,4,TD,1:22,Slim Shady 1 yd run. (Dean Jackson kick),30,45
