Player,Team,Penalties,Yards,Pancakes,Sacks Allowed,W,S
"Lee, B.",SJS,1,10,5,0,5,23
"McDavid, L.",SJS,1,15,5,0,5,23
"Allen, O.",SJS,1,5,0,0,5,23
"Hood, T.",SJS,1,5,0,0,5,23
"Pest, T.",SJS,0,0,7,1,5,23
"Bot, B.",SJS,0,0,6,0,5,23
"Johnson, R.",SJS,0,0,6,0,5,23
"Lackson, J.",SJS,0,0,3,0,5,23
"Irving, J.",SJS,0,0,2,0,5,23
"Cardrissian, R.",SJS,0,0,1,0,5,23
"Pancake, P.",SJS,0,0,1,0,5,23
"Jones, K.",AUS,1,5,1,0,5,23
"Edmond, H.",AUS,1,15,0,0,5,23
"Lavelle Jr., D.",AUS,1,5,0,0,5,23
"Saurus, B.",AUS,0,0,7,0,5,23
"Beaver-Dantes, E.",AUS,0,0,5,0,5,23
"Fassingit, H.",AUS,0,0,3,0,5,23
"Saurus, A.",AUS,0,0,2,0,5,23
"Saurus, S.",AUS,0,0,2,0,5,23
"Mendonca, M.",AUS,0,0,1,1,5,23
"Larson, P.",AUS,0,0,1,0,5,23
