,Q,Score Type,Time Remaining,Play,NO,BAL
1,1,FG,8:05,35 yd FG by Peg Leg,3,0
2,1,TD,2:38,Charlie Law 43 yd pass from Borkus Maximus III. (Peg Leg kick),10,0
4,2,FG,13:43,45 yd FG by Turk Turkleton,10,3
5,2,TD,5:44,Trey Willie 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),10,10
6,2,TD,1:43,Owen Taylor 1 yd run. (Turk Turkleton kick),10,17
8,3,TD,10:54,Owen Taylor 3 yd run. (Turk Turkleton kick),10,24
9,3,TD,6:15,Paul DiMirio 11 yd run. (Peg Leg kick),17,24
10,3,TD,2:06,Trey Willie 3 yd pass from Avon Blocksdale. (Turk Turkleton kick),17,31
11,3,TD,0:00,Alexandre LeClair 24 yd pass from Borkus Maximus III. (Peg Leg kick),24,31
13,4,FG,11:38,34 yd FG by Turk Turkleton,24,34
14,4,TD,8:43,Darren Smallwood 36 yd pass from Borkus Maximus III. (Peg Leg kick),31,34
