Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"L'Alto, V.",BAL,6,40,6.7,13,0,14,10
"Willie, T.",BAL,5,85,17,31,2,14,10
"Taylor, O.",BAL,3,38,12.7,26,0,14,10
"Browning, B.",BAL,2,35,17.5,26,0,14,10
"Bush, C.",BAL,2,34,17,26,0,14,10
"Harp, D.",BAL,2,16,8,12,0,14,10
"Law, C.",NO,5,83,16.6,43,1,14,10
"Crush, C.",NO,4,120,30,56,0,14,10
"Jackson, M.",NO,2,59,29.5,30,0,14,10
"LeClair, A.",NO,2,32,16,24,1,14,10
"Smallwood, D.",NO,1,36,36,36,1,14,10
"DiMirio, P.",NO,1,19,19,19,0,14,10
"Savea, A.",NO,1,6,6,6,0,14,10
