,Q,Score Type,Time Remaining,Play,NO,YKW
1,1,FG,6:27,30 yd FG by None Forfeit,0,3
2,1,FG,0:55,27 yd FG by None Forfeit,0,6
4,2,FG,10:08,38 yd FG by Peg Leg,3,6
5,2,TD,6:37,Robby Rainey 1 yd run. (None Forfeit kick),3,13
6,2,FG,2:22,23 yd FG by Peg Leg,6,13
8,3,TD,14:42,Eric Kennedy 94 yd kickoff return. (None Forfeit kick),6,20
9,3,TD,10:31,Robby Rainey 2 yd run. (None Forfeit kick),6,27
11,4,TD,13:49,Dustin Evans 10 yd pass from Borkus Maximus III. (Peg Leg kick),13,27
12,4,TD,5:10,Robby Rainey 3 yd run. (None Forfeit kick),13,34
13,4,TD,0:00,Robby Rainey 4 yd run. (None Forfeit kick),13,41
