Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Crindy, B.",AZ,5,43,8.6,16,0,10,10
"Squanch, V.",AZ,4,44,11,17,0,10,10
"Morris, D.",AZ,4,41,10.2,12,0,10,10
"Wachter, J.",AZ,3,23,7.7,11,0,10,10
"Chess, C.",AZ,1,9,9,9,0,10,10
"Mackworthy, R.",AZ,1,8,8,8,0,10,10
"Booter, F.",AZ,1,2,2,2,0,10,10
"Bush, C.",BAL,6,108,18,29,1,10,10
"Willie, T.",BAL,5,107,21.4,27,1,10,10
"Taylor, O.",BAL,4,38,9.5,18,0,10,10
"L'Alto, V.",BAL,4,27,6.8,12,0,10,10
"Harp, D.",BAL,4,24,6,8,0,10,10
"Browning, B.",BAL,3,52,17.3,35,0,10,10
"Valentine, V.",BAL,2,22,11,16,0,10,10
