,Q,Score Type,Time Remaining,Play,AUS,PHI
1,1,TD,7:22,Nacho Varga 7 yd pass from Adriana Falconi. (Roderick Castleberry kick),0,7
2,1,FG,3:51,37 yd FG by Alfredo Crisco,3,7
4,2,TD,13:36,Farley Hank 1 yd run. (Roderick Castleberry kick),3,14
5,2,TD,9:48,Mako Mendonca 5 yd run. (Alfredo Crisco kick),10,14
6,2,TD,2:39,Farley Hank 1 yd run. (Roderick Castleberry kick),10,21
8,3,FG,12:03,41 yd FG by Alfredo Crisco,13,21
9,3,FG,5:45,37 yd FG by Alfredo Crisco,16,21
10,3,TD,4:20,Dermot Lavelle Jr. 70 yd punt return. (Alfredo Crisco kick),23,21
12,4,TD,14:51,Farley Hank 3 yd run. (Roderick Castleberry kick),23,28
13,4,FG,10:17,46 yd FG by Alfredo Crisco,26,28
14,4,TD,5:30,Marquise Brown 11 yd pass from Adriana Falconi. (Roderick Castleberry kick),26,35
