,Q,Score Type,Time Remaining,Play,NY,HON
1,1,TD,11:11,Ashley Owens 9 yd run. (Dougie Smalls kick),7,0
2,1,TD,8:00,Jackson Kingston 7 yd pass from Sam Howitzer (C). (Dougie Smalls kick),14,0
3,1,TD,3:36,Korbin Brown 7 yd pass from Luke Skywalker (C). (Venus Powers kick),14,7
5,2,TD,13:24,Sam Howitzer (C) 2 yd run. (Dougie Smalls kick),21,7
6,2,FG,11:03,40 yd FG by Venus Powers,21,10
7,2,TD,6:58,Nicholas Ayers 1 yd run. (Venus Powers kick),21,17
8,2,FG,0:23,22 yd FG by Venus Powers,21,20
10,3,FG,9:16,19 yd FG by Dougie Smalls,24,20
11,3,TD,0:43,Korbin Brown 22 yd pass from Luke Skywalker (C). (Venus Powers kick),24,27
13,4,TD,8:49,Nicholas Ayers 4 yd run. (Venus Powers kick),24,34
14,4,FG,3:53,23 yd FG by Dougie Smalls,27,34
