,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,6:56,Marcella Toriki 1 yd run. (Herbert Prohaska XP no good),0,6
2,1,TD,2:20,Forrest Gump 7 yd pass from Stan Francisco. (Herbert Prohaska kick),0,13
4,2,FG,10:08,46 yd FG by Herbert Prohaska,0,16
5,2,TD,9:07,Forrest Gump 1 yd run. (Herbert Prohaska kick),0,23
6,2,FG,2:25,24 yd FG by Herbert Prohaska,0,26
8,3,TD,6:39,Forrest Gump 61 yd punt return. (Herbert Prohaska kick),0,33
10,4,TD,14:48,Marcella Toriki 2 yd run. (Herbert Prohaska kick),0,40
11,4,TD,9:26,Bona'beri Jones 8 yd pass from Stan Francisco. (Herbert Prohaska kick),0,47
12,4,TD,6:01,Saba Donut 6 yd pass from Andrew Reese. (Alex Frost kick),7,47
13,4,TD,4:25,Bender B. Rodriguez 6 yd pass from Stan Francisco. (Herbert Prohaska kick),7,54
14,4,FG,3:13,33 yd FG by Herbert Prohaska,7,57
