Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Vuxta, R.",PHI,10,105,10.5,21,0,15,24
"Panda, F.",PHI,5,91,18.2,30,1,15,24
"Blocksdale Jr., A.",PHI,5,38,7.6,15,0,15,24
"Varga, N.",PHI,4,30,7.5,8,0,15,24
"Torenson, S.",PHI,4,22,5.5,14,1,15,24
"Dotson, F.",PHI,3,21,7,10,0,15,24
"Gelbman, T.",CHI,5,37,7.4,11,1,15,24
"O'Leary, S.",CHI,4,78,19.5,39,1,15,24
"Scabbia, L.",CHI,4,39,9.8,14,1,15,24
"Rodriguez, B.",CHI,2,53,26.5,28,0,15,24
"Yoda, B.",CHI,2,18,9,12,0,15,24
"Tirtawidjaja, J.",CHI,2,17,8.5,11,0,15,24
"Oberwald, G.",CHI,1,30,30,30,0,15,24
"Hayes, V.",CHI,1,5,5,5,0,15,24
