,Q,Score Type,Time Remaining,Play,CHI,PHI
1,1,TD,9:18,Flash Panda 16 yd pass from Brock Phoenix. (Karmichael Hunt (R) kick),0,7
2,1,TD,6:27,Sean O'Leary 27 yd pass from George O'Donnell. (Sam Sidekick kick),7,7
3,1,TD,0:49,Sam Torenson 1 yd pass from Brock Phoenix. (Karmichael Hunt (R) kick),7,14
5,2,TD,7:40,Luca Scabbia (R) 7 yd pass from George O'Donnell. (Sam Sidekick kick),14,14
6,2,FG,6:19,28 yd FG by Sam Sidekick,17,14
7,2,FG,0:44,25 yd FG by Karmichael Hunt (R),17,17
9,3,TD,10:29,Baby Yoda 4 yd run. (Sam Sidekick kick),24,17
10,3,FG,2:41,39 yd FG by Sam Sidekick,27,17
12,4,FG,14:03,37 yd FG by Karmichael Hunt (R),27,20
13,4,TD,11:30,Osiris Firestorm-Fjord 66 yd punt return. (Sam Sidekick kick),34,20
14,4,TD,4:58,Sam Torenson 1 yd run. (Karmichael Hunt (R) kick),34,27
15,4,TD,1:34,Tree Gelbman 1 yd pass from George O'Donnell. (Sam Sidekick kick),41,27
