,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,TD,11:33,Roger Batoff 6 yd pass from Adriana Falconi. (Kulture Fulture kick),7,0
2,1,TD,8:27,Jordan von Matt 60 yd pass from Adriana Falconi. (Kulture Fulture kick),14,0
3,1,FG,4:54,30 yd FG by Beat Meoff,14,3
5,2,FG,6:10,19 yd FG by Beat Meoff,14,6
6,2,FG,3:29,43 yd FG by Kulture Fulture,17,6
7,2,FG,0:05,34 yd FG by Beat Meoff,17,9
9,3,TD,14:41,Vladimir Fyodorovich 107 yd kickoff return. (Beat Meoff kick),17,16
10,3,TD,8:36,Vladimir Fyodorovich 46 yd pass from Borkus Maximus III. (Beat Meoff kick),17,23
11,3,TD,1:22,Marquise Brown 3 yd run. (Kulture Fulture kick),24,23
13,4,FG,9:10,32 yd FG by Kulture Fulture,27,23
14,4,FG,1:36,39 yd FG by Kulture Fulture,30,23
