,Q,Score Type,Time Remaining,Play,YKW,NO
1,1,TD,10:55,Nate Swift 22 yd pass from Cooter Bigsby. (Neo Donaldson kick),7,0
2,1,FG,7:01,45 yd FG by Alex Frost,7,3
3,1,TD,3:17,Morgan Marshall 1 yd run. (Neo Donaldson kick),14,3
5,2,TD,11:54,Vladimir Fyodorovich 1 yd pass from Stan Francisco. (Alex Frost kick),14,10
6,2,FG,5:19,41 yd FG by Alex Frost,14,13
7,2,TD,2:20,Tommy Helanen 56 yd pass from Cooter Bigsby. (Neo Donaldson kick),21,13
9,3,TD,14:29,Morgan Marshall 3 yd run. (Neo Donaldson kick),28,13
10,3,TD,10:08,Bona'beri Jones 9 yd pass from Stan Francisco. (Alex Frost kick),28,20
11,3,FG,6:33,32 yd FG by Neo Donaldson,31,20
12,3,TD,0:00,Bona'beri Jones 22 yd pass from Stan Francisco. (Alex Frost kick),31,27
14,4,TD,11:55,Roger Batoff 13 yd pass from Cooter Bigsby. (Neo Donaldson kick),38,27
