,Q,Score Type,Time Remaining,Play,AZ,BAL
1,1,TD,12:28,Trey Willie 7 yd pass from Avon Blocksdale. (Turk Turkleton kick),0,7
2,1,TD,7:48,John Wachter 5 yd pass from King Bronko. (Dean Jackson kick),7,7
3,1,FG,5:15,35 yd FG by Turk Turkleton,7,10
5,2,TD,13:29,Owen Taylor 4 yd run. (Turk Turkleton kick),7,17
6,2,FG,8:03,45 yd FG by Dean Jackson,10,17
7,2,TD,2:32,Owen Taylor 2 yd run. (Turk Turkleton kick),10,24
9,3,FG,10:03,25 yd FG by Turk Turkleton,10,27
10,3,FG,3:35,34 yd FG by Turk Turkleton,10,30
11,3,TD,1:19,Viggo (R) Squanch 50 yd pass from King Bronko. (Dean Jackson kick),17,30
13,4,FG,5:34,25 yd FG by Dean Jackson,20,30
