,Q,Score Type,Time Remaining,Play,SJS,NO
1,1,TD,11:34,Darren Smallwood 2 yd run. (Iyah Blewitt kick),0,7
3,2,TD,13:39,Paul DiMirio 27 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,14
4,2,FG,8:39,33 yd FG by Iyah Blewitt,0,17
5,2,TD,3:21,Darren Smallwood 3 yd run. (Iyah Blewitt kick),0,24
7,3,TD,9:35,Dustin Evans 22 yd pass from Borkus Maximus III. (Iyah Blewitt kick),0,31
8,3,FG,4:56,41 yd FG by Kyle Corbett,3,31
9,3,TD,2:20,Dustin Evans 21 yd pass from Borkus Maximus III. (Iyah Blewitt kick),3,38
11,4,TD,12:11,Paul DiMirio 7 yd pass from Borkus Maximus III. (Iyah Blewitt kick),3,45
12,4,FG,10:11,26 yd FG by Iyah Blewitt,3,48
13,4,FG,6:43,38 yd FG by Iyah Blewitt,3,51
