,Q,Score Type,Time Remaining,Play,COL,YKW
1,1,TD,14:42,Andre Bly Jr. 97 yd kickoff return. (Peg Leg kick),7,0
2,1,TD,13:45,Vash Erikson 20 yd interception return. (Peg Leg kick),14,0
3,1,TD,11:12,Eric Kennedy 25 yd pass from Mat Akselsen. (Joseph Lombardi kick),14,7
4,1,TD,7:22,Eric Kennedy 9 yd pass from Mat Akselsen. (Joseph Lombardi kick),14,14
5,1,TD,1:40,Marcus Kane 14 yd fumble return. (Joseph Lombardi kick),14,21
7,2,TD,7:41,Gosh Jarden 1 yd pass from Mat Akselsen. (Joseph Lombardi kick),14,28
8,2,TD,4:28,Clee Hardrool 59 yd interception return. (Joseph Lombardi kick),14,35
9,2,TD,2:07,Eric Kennedy 1 yd run. (Joseph Lombardi kick),14,42
10,2,TD,1:39,Dermot Lavelle 24 yd interception return. (Joseph Lombardi kick),14,49
12,3,FG,3:57,39 yd FG by Peg Leg,17,49
13,3,FG,2:43,18 yd FG by Peg Leg,20,49
14,3,TD,0:00,Gosh Jarden 29 yd pass from Mat Akselsen. (Joseph Lombardi kick),20,56
