,Q,Score Type,Time Remaining,Play,BAL,PHI
1,1,TD,7:02,Jordan von Matt 24 yd pass from Adriana Falconi. (Kulture Fulture kick),0,7
2,1,FG,1:00,24 yd FG by Alex Frost,3,7
4,2,TD,11:22,Carter Bush 4 yd pass from Adriana Falconi. (Kulture Fulture kick),3,14
5,2,TD,5:04,Fast (R) Boija 1 yd run. (Kulture Fulture kick),3,21
6,2,FG,0:23,57 yd FG by Kulture Fulture,3,24
8,3,TD,7:47,Corey Trevor 1 yd run. (Alex Frost kick),10,24
9,3,FG,2:47,34 yd FG by Alex Frost,13,24
11,4,FG,13:46,25 yd FG by Kulture Fulture,13,27
12,4,TD,4:15,Howard Miller 9 yd pass from Childish Gambino. (Alex Frost kick),20,27
13,4,FG,0:07,25 yd FG by Kulture Fulture,20,30
