,Q,Score Type,Time Remaining,Play,PHI,NO
1,1,FG,6:38,19 yd FG by Beat Meoff,0,3
2,1,TD,3:03,Vladimir Fyodorovich 15 yd pass from Borkus Maximus III. (Beat Meoff kick),0,10
3,1,TD,0:44,Marquise Brown 4 yd run. (Kulture Fulture kick),7,10
5,2,TD,13:55,Vladimir Fyodorovich 46 yd pass from Borkus Maximus III. (Beat Meoff kick),7,17
6,2,TD,9:53,Marquise Brown 3 yd run. (Kulture Fulture kick),14,17
7,2,TD,3:49,Marquise Brown 5 yd run. (Kulture Fulture kick),21,17
8,2,FG,1:20,47 yd FG by Beat Meoff,21,20
10,3,FG,12:09,33 yd FG by Beat Meoff,21,23
11,3,FG,7:32,31 yd FG by Beat Meoff,21,26
12,3,FG,1:59,37 yd FG by Kulture Fulture,24,26
14,4,TD,9:48,Borro Gore 1 yd run. (Beat Meoff kick),24,33
15,4,TD,5:15,Jordan von Matt 1 yd pass from Adriana Falconi. (Kulture Fulture kick),31,33
16,4,FG,1:52,29 yd FG by Kulture Fulture,34,33
