,Q,Score Type,Time Remaining,Play,SJS,AZ
1,1,TD,6:43,Xavier (R) Flash 23 yd pass from Mat Akselsen. (Kyle Corbett XP no good),6,0
2,1,TD,1:18,Darren Morris 14 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),6,7
4,2,TD,10:33,Kevin Fitzpatrick 1 yd run. (Dean Jackson kick),6,14
5,2,FG,6:18,45 yd FG by Dean Jackson,6,17
6,2,TD,0:53,Reg Mackworthy 6 yd run. (Dean Jackson kick),6,24
7,2,FG,0:28,27 yd FG by Dean Jackson,6,27
9,3,TD,11:08,Darren Morris 13 yd pass from Kevin Fitzpatrick. (Dean Jackson kick),6,34
10,3,FG,6:52,44 yd FG by Dean Jackson,6,37
12,4,TD,14:10,Fresh Booter 15 yd pass from Kevin Fitzpatrick. (Dean Jackson XP no good),6,43
13,4,TD,1:11,Reg Mackworthy 1 yd run. (Dean Jackson kick),6,50
