Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"DiMirio, P.",NO,7,75,10.7,21,0,12,12
"Gore, B.",NO,7,28,4,13,0,12,12
"Halvorsen, T.",NO,6,59,9.8,15,0,12,12
"Fyodorovich, V.",NO,5,109,21.8,49,0,12,12
"Storm, B.",NO,4,33,8.2,13,0,12,12
"Yobanna-Kanayochukwu, C.",NO,2,5,2.5,3,0,12,12
"Adams, R.",OCO,7,103,14.7,38,1,12,12
"Sunnycursed, N.",OCO,5,63,12.6,33,0,12,12
"Crush, C.",OCO,4,138,34.5,45,0,12,12
"Atwell, T.",OCO,4,38,9.5,14,0,12,12
"Zephyrous, S.",OCO,3,23,7.7,16,0,12,12
"Helanen, T.",OCO,2,32,16,28,0,12,12
