,Q,Score Type,Time Remaining,Play,OCO,AUS
1,1,TD,9:49,Future Trunks 25 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),7,0
2,1,TD,7:36,Net Gaines 6 yd pass from Easton Cole (C). (Pseudo QB (R) kick),7,7
3,1,TD,0:00,None Videl-San 35 yd pass from Easton Cole (C). (Pseudo QB (R) kick),7,14
5,2,TD,11:35,Garfield Despacito Jr. 14 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),14,14
6,2,TD,11:20,Dermot Lavelle Jr. 108 yd kickoff return. (Pseudo QB (R) kick),14,21
7,2,TD,8:08,Tatsu Nakamura (C) 17 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),21,21
8,2,TD,0:42,Zoe Watts (R) 21 yd pass from Easton Cole (C). (Pseudo QB (R) kick),21,28
10,3,TD,9:48,Friedrich Vequain (R) 7 yd pass from Easton Cole (C). (Pseudo QB (R) kick),21,35
11,3,TD,5:11,Owen Holloway (R) 1 yd pass from Suleiman Ramza (R). (Alex Dasistwirklichseinnachname kick),28,35
13,4,TD,14:29,Zoe Watts (R) 8 yd pass from Easton Cole (C). (Pseudo QB (R) kick),28,42
14,4,FG,9:13,29 yd FG by Alex Dasistwirklichseinnachname,31,42
15,4,FG,6:32,30 yd FG by Pseudo QB (R),31,45
16,4,FG,0:41,25 yd FG by Pseudo QB (R),31,48
17,4,TD,0:11,Kichwa Jones 3 yd run. (Pseudo QB (R) XP no good),31,54
