,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,TD,9:38,Marquise Brown 1 yd run. (Alex Frost kick),0,7
2,1,FG,4:54,19 yd FG by Kyle Corbett,3,7
3,1,TD,2:26,Vinny Valentine 76 yd punt return. (Alex Frost kick),3,14
5,2,TD,11:34,Devo Cansino 4 yd run. (Kyle Corbett kick),10,14
6,2,FG,5:55,46 yd FG by Alex Frost,10,17
7,2,TD,3:13,Errol Maddox 43 yd pass from Childish Gambino. (Alex Frost kick),10,24
8,2,FG,0:49,42 yd FG by Kyle Corbett,13,24
10,3,TD,3:29,Marquise Brown 1 yd run. (Alex Frost kick),13,31
12,4,FG,10:54,35 yd FG by Alex Frost,13,34
13,4,TD,6:54,James Bishop 15 yd pass from Micycle McCormick. (Kyle Corbett XP no good),19,34
14,4,TD,1:27,Balthazar Crindy 21 yd pass from Micycle McCormick. (Kyle Corbett XP no good),25,34
