,Q,Score Type,Time Remaining,Play,BAL,YKW
1,1,FG,10:11,18 yd FG by ForThe Brand,3,0
2,1,TD,7:35,Acura Skyline (R) 6 yd run. (Dougie Smalls kick),3,7
3,1,TD,1:53,Nate Swift 3 yd pass from Cooter Bigsby. (Dougie Smalls kick),3,14
5,2,TD,9:25,Nate Swift 2 yd pass from Cooter Bigsby. (Dougie Smalls kick),3,21
6,2,TD,1:39,Acura Skyline (R) 5 yd run. (Dougie Smalls kick),3,28
8,3,FG,12:59,56 yd FG by Dougie Smalls,3,31
9,3,TD,3:13,Mathias Hanyadi 10 yd pass from Cooter Bigsby. (Dougie Smalls kick),3,38
11,4,TD,13:49,Bender B. Rodriguez 11 yd pass from Cooter Bigsby. (Dougie Smalls kick),3,45
12,4,TD,5:16,Acura Skyline (R) 7 yd run. (Dougie Smalls kick),3,52
13,4,TD,0:59,Acura Skyline (R) 18 yd run. (Dougie Smalls kick),3,59
