Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Swift, N.",YKW,7,79,11.3,28,2,12,22
"Rodriguez, B.",YKW,5,39,7.8,11,1,12,22
"Hanyadi, M.",YKW,3,31,10.3,11,1,12,22
"Skyline, A.",YKW,3,20,6.7,10,0,12,22
"Hardagain, W.",YKW,2,47,23.5,26,0,12,22
"Z, D.",YKW,1,6,6,6,0,12,22
"Kross, C.",BAL,4,37,9.2,12,0,12,22
"Lewandowski, J.",BAL,4,32,8,11,0,12,22
"Williams, D.",BAL,4,18,4.5,9,0,12,22
"Maddox, E.",BAL,3,29,9.7,12,0,12,22
"Quinn, A.",BAL,2,34,17,29,0,12,22
"Reed, A.",BAL,2,17,8.5,9,0,12,22
"Skuff, R.",BAL,2,11,5.5,6,0,12,22
