,Q,Score Type,Time Remaining,Play,AZ,NO
1,1,TD,11:25,Viggo (R) Squanch 2 yd pass from King Bronko. (Dean Jackson kick),7,0
2,1,TD,7:28,Ardie Savea 8 yd pass from Borkus Maximus III. (Peg Leg kick),7,7
4,2,TD,13:31,John Wachter 3 yd pass from King Bronko. (Dean Jackson kick),14,7
5,2,TD,10:41,Paul DiMirio 16 yd pass from Borkus Maximus III. (Peg Leg kick),14,14
7,3,TD,10:53,Dustin Evans 13 yd pass from Borkus Maximus III. (Peg Leg XP no good),14,20
8,3,TD,2:58,Ardie Savea 5 yd pass from Borkus Maximus III. (Peg Leg kick),14,27
9,3,TD,1:04,Darren Smallwood 1 yd run. (Peg Leg kick),14,34
11,4,TD,13:45,John Wachter 20 yd pass from King Bronko. (Dean Jackson kick),21,34
12,4,TD,11:42,Darren Smallwood 1 yd run. (Peg Leg kick),21,41
13,4,TD,2:48,Darren Smallwood 3 yd run. (Peg Leg kick),21,48
14,4,TD,1:31,Darren Smallwood 17 yd pass from Borkus Maximus III. (Peg Leg kick),21,55
