,Q,Score Type,Time Remaining,Play,COL,BAL
1,1,FG,10:51,43 yd FG by Turk Turkleton,0,3
2,1,TD,7:34,James (R) Bishop 20 yd pass from Micycle McCormick. (Peg Leg kick),7,3
3,1,TD,7:19,Vinny Valentine 101 yd kickoff return. (Turk Turkleton kick),7,10
5,2,TD,12:56,Owen Taylor 2 yd run. (Turk Turkleton kick),7,17
6,2,TD,7:24,Verso L'Alto 26 yd pass from Childish Gambino. (Turk Turkleton XP no good),7,23
7,2,TD,1:45,Mark Grau 9 yd pass from Micycle McCormick. (Peg Leg kick),14,23
9,3,TD,13:04,Antonio Summer 2 yd run. (Turk Turkleton kick),14,30
10,3,TD,9:18,Vinny Valentine 33 yd pass from Childish Gambino. (Turk Turkleton kick),14,37
11,3,TD,5:05,Owen Taylor 7 yd run. (Turk Turkleton kick),14,44
12,3,TD,2:16,Vinny Valentine 36 yd pass from Childish Gambino. (Turk Turkleton kick),14,51
14,4,TD,11:51,Owen Taylor 1 yd run. (Turk Turkleton kick),14,58
15,4,TD,7:36,Micycle McCormick 13 yd run. (Peg Leg kick),21,58
16,4,TD,1:20,Howard Miller 11 yd pass from Micycle McCormick. (Peg Leg kick),28,58
