Player,Team,Rec,Yds,Avg,Lg,rec_TD,W,S
"Evans, D.",LV,6,113,18.8,35,0,11,5
"Booter, F.",LV,6,78,13,19,0,11,5
"Askins, J.",LV,4,39,9.8,16,0,11,5
"Baker, J.",LV,4,35,8.8,11,0,11,5
"Omega, K.",LV,4,33,8.2,14,0,11,5
"O'Sullivan, C.",LV,2,27,13.5,17,0,11,5
"Savea, A.",LV,1,2,2,2,0,11,5
"Chess, C.",AZ,7,85,12.1,34,1,11,5
"Law, C.",AZ,7,49,7,8,0,11,5
"Browning, B.",AZ,5,164,32.8,49,1,11,5
"West, D.",AZ,3,19,6.3,7,0,11,5
"Davis, A.",AZ,2,44,22,37,1,11,5
"Mackworthy, R.",AZ,2,13,6.5,10,0,11,5
"Floggity, J.",AZ,1,34,34,34,0,11,5
"Wright, O.",AZ,1,12,12,12,0,11,5
